nba_id,year,player_name,bref_id,team,FT_PERC,FTPerc,games,is_aggregate_team
1575,1998,Derek Grimm,grimmde01,SAC,1.0,1.0,9,False
157,1998,Derek Harper,harpede01,ORL,0.696,0.696,66,False
400,1998,Derek Strong,stronde01,ORL,0.781,0.781,58,False
934,1998,Derrick Coleman,colemde01,PHI,0.772,0.772,59,False
365,1998,Derrick McKey,mckeyde01,IND,0.714,0.714,57,False
96,1998,Detlef Schrempf,schrede01,SEA,0.844,0.844,78,False
54,1998,Dickey Simpkins,simpkdi01,2TM,0.514,0.514,40,True
87,1998,Dikembe Mutombo,mutomdi01,ATL,0.67,0.67,82,False
931,1998,Don MacLean,macledo01,NJN,,,9,False
690,1998,Don Reid,reiddo01,DET,0.704,0.704,68,False
140,1998,Donald Royal,royaldo01,2TM,0.879,0.879,31,True
1126,1998,Donald Whiteside,whitedo01,ATL,0.0,0.0,3,False
963,1998,Dontae' Jones,jonesdo01,BOS,,,15,False
112,1998,Dontonio Wingfield,wingfdo01,POR,0.5,0.5,3,False
923,1998,Donyell Marshall,marshdo01,GSW,0.731,0.731,73,False
57,1998,Doug Christie,chrisdo01,TOR,0.829,0.829,78,False
77,1998,Doug Overton,overtdo01,PHI,0.875,0.875,23,False
28,1998,Doug West,westdo01,MIN,0.725,0.725,38,False
1003,1998,Drew Barry,barrydr01,ATL,0.846,0.846,27,False
190,1998,Duane Causwell,causwdu01,MIA,0.577,0.577,37,False
273,1998,Duane Ferrell,ferredu01,GSW,0.545,0.545,50,False
1516,1998,Ed Gray,grayed01,ATL,0.846,0.846,30,False
1055,1998,Ed Stokes,stokeed01,TOR,0.5,0.5,4,False
698,1998,Eddie Johnson,johnsed03,HOU,0.831,0.831,75,False
224,1998,Eddie Jones,jonesed02,LAL,0.765,0.765,80,False
922,1998,Elden Campbell,campbel01,LAL,0.693,0.693,81,False
695,1998,Eldridge Recasner,recasel01,ATL,0.937,0.937,59,False
386,1998,Elliot Perry,perryel01,MIL,0.844,0.844,81,False
1023,1998,Emanual Davis,davisem01,HOU,0.838,0.838,45,False
376,1998,Eric Montross,montrer01,2TM,0.4,0.4,48,True
785,1998,Eric Murdock,murdoer01,MIA,0.801,0.801,82,False
15,1998,Eric Piatkowski,piatker01,LAC,0.824,0.824,67,False
35,1998,Eric Riley,rileyer01,DAL,0.75,0.75,39,False
727,1998,Eric Snow,snower01,2TM,0.69,0.69,64,True
1540,1998,Eric Washington,washier01,DEN,0.783,0.783,66,False
677,1998,Eric Williams,willier01,DEN,0.689,0.689,4,False
956,1998,Erick Dampier,dampier01,GSW,0.669,0.669,82,False
1065,1998,Erick Strickland,stricer01,DAL,0.774,0.774,67,False
911,1998,Ervin Johnson,johnser02,MIL,0.601,0.601,81,False
1564,1998,Etdrick Bohannon,bohanet01,IND,,,5,False
280,1998,Felton Spencer,spencfe01,GSW,0.557,0.557,68,False
697,1998,Fred Hoiberg,hoibefr01,IND,0.855,0.855,65,False
202,1998,Gary Grant,grantga01,POR,0.857,0.857,22,False
56,1998,Gary Payton,paytoga01,SEA,0.744,0.744,82,False
718,1998,Gary Trent,trentga01,2TM,0.679,0.679,54,True
248,1998,George Lynch,lynchge01,VAN,0.703,0.703,82,False
45,1998,George McCloud,mccloge01,PHO,0.765,0.765,63,False
678,1998,George Zídek,zidekge01,2TM,0.875,0.875,12,True
1666,1998,Gerald Madkins,madkige01,GSW,0.714,0.714,19,False
786,1998,Gerald Wilkins,wilkige01,ORL,0.704,0.704,72,False
779,1998,Glen Rice,ricegl01,CHH,0.849,0.849,82,False
299,1998,Glenn Robinson,robingl01,MIL,0.808,0.808,56,False
1539,1998,God Shammgod,shammgo01,WAS,0.767,0.767,20,False
255,1998,Grant Hill,hillgr01,DET,0.74,0.74,81,False
3,1998,Grant Long,longgr01,DET,0.719,0.719,40,False
246,1998,Greg Anderson,andergr01,ATL,0.39,0.39,50,False
21,1998,Greg Anthony,anthogr01,SEA,0.663,0.663,80,False
323,1998,Greg Foster,fostegr01,UTA,0.77,0.77,78,False
37,1998,Greg Graham,grahagr01,CLE,1.0,1.0,6,False
65,1998,Greg Minor,minorgr01,BOS,0.686,0.686,69,False
731,1998,Greg Ostertag,ostergr01,UTA,0.479,0.479,63,False
165,1998,Hakeem Olajuwon,olajuha01,HOU,0.755,0.755,47,False
1677,1998,Harold Ellis,ellisha01,DEN,0.635,0.635,27,False
265,1998,Harvey Grant,grantha01,WAS,0.633,0.633,65,False
1080,1998,Henry James,jameshe01,CLE,0.955,0.955,28,False
1006,1998,Herb Williams,willihe01,NYK,0.125,0.125,27,False
765,1998,Hersey Hawkins,hawkihe01,SEA,0.868,0.868,82,False
270,1998,Horace Grant,grantho01,ORL,0.678,0.678,76,False
1024,1998,Horacio Llamas,llamaho01,PHO,0.7,0.7,8,False
73,1998,Hot Rod Williams,williho01,PHO,0.699,0.699,71,False
458,1998,Howard Eisley,eisleho01,UTA,0.852,0.852,82,False
93,1998,Hubert Davis,davishu01,DAL,0.836,0.836,81,False
1134,1998,Isaac Austin,austiis01,2TM,0.669,0.669,78,True
375,1998,Isaiah Rider,rideris01,POR,0.828,0.828,74,False
1096,1998,Ivano Newbill,newbiiv01,VAN,0.567,0.567,28,False
462,1998,J.R. Reid,reidjr01,CHH,0.73,0.73,79,False
917,1998,Jack Haley,haleyja01,NJN,0.571,0.571,16,False
1521,1998,Jacque Vaughn,vaughja01,UTA,0.706,0.706,45,False
147,1998,Jalen Rose,roseja01,IND,0.728,0.728,82,False
469,1998,Jamal Mashburn,mashbja01,MIA,0.797,0.797,48,False
1530,1998,James Collins,collija01,LAC,0.571,0.571,23,False
1526,1998,James Cotton,cottoja02,SEA,0.889,0.889,9,False
381,1998,James Robinson,robinja02,LAC,0.72,0.72,70,False
994,1998,Jamie Feick,feickja01,MIL,0.488,0.488,45,False
1114,1998,Jaren Jackson,jacksja01,SAS,0.797,0.797,82,False
679,1998,Jason Caffey,caffeja01,2TM,0.655,0.655,80,True
467,1998,Jason Kidd,kiddja01,PHO,0.799,0.799,82,False
1535,1998,Jason Lawson,lawsoja01,ORL,0.8,0.8,17,False
420,1998,Jayson Williams,willija01,NJN,0.666,0.666,65,False
81,1998,Jeff Grayer,grayeje01,2TM,,,5,True
204,1998,Jeff Hornacek,hornaje01,UTA,0.885,0.885,80,False
999,1998,Jeff Nordgaard,nordgje01,MIL,0.889,0.889,13,False
